reduced_formula,spacegroup_number
BaZrN2,129
BaZrNi,216
BaZrO3,221
BaZrS3,62
Be(GaPd)2,139
Be(SiRu)2,139
Be(VPd)2,139
Be13Sb,226
Be17Nb2,166
Be22Mo,227
Be22Re,227
Be22W,227
Be2Ag,227
Be2AgAu2,139
Be2AgPd,216
Be2AgPd,225
Be2AlRu,216
Be2AlRu,225
Be2BiMo,119
Be2BiPd2,139
Be2BiRu,119
Be2CdCu,119
Be2CdFe,119
Be2CdIr,119
Be2CdOs,119
Be2CdRu,123
Be2CdTc,119
Be2CdW,99
Be2CoCu,225
Be2CoGe,119
Be2CoIr,119
Be2CoIr,225
Be2CoNi,225
