compound,cluster,T,k_ref,k_pred,k_pred_hurdle,p_low,n_ref_rows,klass,Yfam,ratio,ape,suspect_ref
LaBiPd,half:X=La,300.0,3.1663348834396845,2.4171,4.5152,0.0907,1,half,Bi,0.7633747183981474,23.66252816018526,False
LaBiPd,half:X=La,400.0,3.1999713336268534,1.3597,3.4837,0.1153,2,half,Bi,0.4249100564469474,57.508994355305255,False
LaBiPd,half:X=La,500.0,3.2285176020300366,1.0362,3.0904,0.1153,2,half,Bi,0.3209522535508108,67.90477464491892,False
LaBiPd,half:X=La,600.0,3.2157020297368266,0.8345,2.3008,0.2664,2,half,Bi,0.2595078748848803,74.04921251151197,False
LaBiPd,half:X=La,700.0,3.0966018075734443,0.7181,0.9716,0.8677,2,half,Bi,0.2318993673141064,76.81006326858936,False
LaBiPd,half:X=La,800.0,2.8602595455082245,0.6121,0.8844,0.8885,2,half,Bi,0.21400155834153126,78.59984416584687,False
LaBiPd,half:X=La,900.0,2.4025053458528576,0.5471,0.7403,0.9413,2,half,Bi,0.22772061712344985,77.22793828765502,False
LaBiPd,half:X=La,1000.0,2.0268280741232703,0.4629,0.598,0.9562,1,half,Bi,0.22838641614939795,77.16135838506021,False
LaSbPd,half:X=La,300.0,2.4809360108537644,4.8801,4.2385,0.0967,1,half,Sb,1.9670398505443965,96.70398505443964,False
LaSbPd,half:X=La,400.0,2.4510745328109707,3.4514,3.2718,0.1067,2,half,Sb,1.4081171150849598,40.811711508495996,False
LaSbPd,half:X=La,500.0,2.1698299436261625,2.8215,2.6781,0.1067,2,half,Sb,1.3003323178796138,30.03323178796139,False
LaSbPd,half:X=La,600.0,1.9190009945986275,2.3378,2.1523,0.1979,2,half,Sb,1.218238034571195,21.823803457119485,False
LaSbPd,half:X=La,700.0,1.9073866700587567,1.9717,1.2636,0.8624,2,half,Sb,1.0337180347072794,3.371803470727942,False
LaSbPd,half:X=La,800.0,1.7791590397378783,1.7726,1.1312,0.894,2,half,Sb,0.9963134044841518,0.3686595515848116,False
LaSbPd,half:X=La,900.0,1.7022783948678986,1.5868,1.0694,0.9469,2,half,Sb,0.9321624505039553,6.783754949604469,False
LaSbPd,half:X=La,1000.0,1.5644800915998989,1.4245,0.9782,0.947,1,half,Sb,0.9105261279120851,8.947387208791492,False
LiAlGe,half:X=Li,200.0,1.7100148401838555,10.7257,8.6223,0.0007,5,half,Al,6.272284747450967,527.2284747450967,False
LiAlGe,half:X=Li,300.0,1.3738735785931437,7.6781,5.7226,0.0029,8,half,Al,5.588651037210009,458.86510372100093,False
LiAlGe,half:X=Li,400.0,1.168075744349935,6.2061,5.6339,0.0024,5,half,Al,5.313097228513943,431.30972285139427,False
LiAlSi,half:X=Li,200.0,15.076574065111048,7.3045,7.0741,0.0009,4,half,Al,0.4844933582692016,51.55066417307984,False
LiAlSi,half:X=Li,300.0,11.688246979711124,4.8752,5.4053,0.0127,8,half,Al,0.4171027536004797,58.28972463995202,False
LiAlSi,half:X=Li,400.0,10.45207034296546,4.4167,5.1882,0.0134,4,half,Al,0.42256699917567664,57.74330008243234,False
LiZnSb,half:X=Li,300.0,3.6043813501477295,6.7336,4.8714,0.0045,4,half,Zn,1.8681708026604944,86.81708026604943,False
LiZnSb,half:X=Li,400.0,3.1509193661394743,5.2828,4.4007,0.0049,4,half,Zn,1.6765900317127185,67.65900317127185,False
LiZnSb,half:X=Li,500.0,2.758306101027209,4.3171,3.8513,0.005,4,half,Zn,1.5651272345706255,56.512723457062556,False
LuNiSb,half:X=Lu,200.0,8.276913453225458,16.0917,15.6973,0.0113,2,half,Ni,1.944166758651943,94.41667586519432,False
LuNiSb,half:X=Lu,300.0,5.9,10.9328,9.0531,0.0626,5,half,Ni,1.8530169491525423,85.30169491525423,False
LuNiSb,half:X=Lu,400.0,4.430040931303182,8.471,7.6377,0.0513,3,half,Ni,1.912171948602762,91.2171948602762,False
LuNiSb,half:X=Lu,500.0,4.155863607330322,6.8423,6.5482,0.0459,4,half,Ni,1.6464207314049493,64.64207314049493,False
LuNiSb,half:X=Lu,600.0,4.129258162178192,5.6491,5.5714,0.0377,3,half,Ni,1.3680665577518865,36.806655775188645,False
LuNiSb,half:X=Lu,700.0,4.22594784686285,4.7921,4.884,0.03,4,half,Ni,1.1339704543579343,13.397045435793423,False
LuNiSb,half:X=Lu,800.0,4.301237956045393,4.2395,4.4306,0.0317,4,half,Ni,0.985646468138639,1.4353531861361046,False
LuNiSb,half:X=Lu,900.0,4.394467767235151,3.7779,3.9098,0.0593,4,half,Ni,0.8596945523568889,14.030544764311111,False
